"participant..id","trial","reaction.time","stimulus","condition"
10168827,"START",NA,"negative","ABC"
10168827,"Congruent",-2.604,"negative","ABC"
10168827,"Incongruent",206.878,"negative","ABC"
10168827,"Congruent",625.303,"negative","ABC"
10168827,"Incongruent",309.941,"negative","ABC"
10168827,"Congruent",460.117,"negative","ABC"
10168827,"Incongruent",165.966,"negative","ABC"
10168827,"END",NA,"negative","ABC"
10192092,"START",NA,"negative","ABC"
10192092,"Congruent",752.395,"negative","ABC"
10192092,"Incongruent",664.074,"negative","ABC"
10192092,"Congruent",269.545,"negative","ABC"
10192092,"Incongruent",456.301,"negative","ABC"
10192092,"Congruent",481.3,"negative","ABC"
10192092,"Incongruent",536.603,"negative","ABC"
10192092,"END",NA,"negative","ABC"
10208522,"START",NA,"negative","ABC"
10208522,"Congruent",275.079,"negative","ABC"
10208522,"Incongruent",449.346,"negative","ABC"
10208522,"Congruent",658.065,"negative","ABC"
10208522,"Incongruent",-40.777,"negative","ABC"
10208522,"Congruent",249.537,"negative","ABC"
10208522,"Incongruent",346.072,"negative","ABC"
10208522,"END",NA,"negative","ABC"
10218310,"START",NA,"negative","ABC"
10218310,"Congruent",298.44,"negative","ABC"
10218310,"Incongruent",222.144,"negative","ABC"
10218310,"Congruent",387.866,"negative","ABC"
10218310,"Incongruent",1004.593,"negative","ABC"
10218310,"Congruent",96.203,"negative","ABC"
10218310,"Incongruent",272.072,"negative","ABC"
10218310,"END",NA,"negative","ABC"
10225898,"START",NA,"negative","ABC"
10225898,"Congruent",563.009,"negative","ABC"
10225898,"Incongruent",639.239,"negative","ABC"
10225898,"Congruent",335.798,"negative","ABC"
10225898,"Incongruent",328.056,"negative","ABC"
10225898,"Congruent",99.683,"negative","ABC"
10225898,"Incongruent",816.625,"negative","ABC"
10225898,"END",NA,"negative","ABC"
10228586,"START",NA,"negative","ABC"
10228586,"Congruent",249.819,"negative","ABC"
10228586,"Incongruent",527.686,"negative","ABC"
10228586,"Congruent",357.26,"negative","ABC"
10228586,"Incongruent",448.742,"negative","ABC"
10228586,"Congruent",806.846,"negative","ABC"
10228586,"Incongruent",1115.116,"negative","ABC"
10228586,"END",NA,"negative","BCA"
10229408,"START",NA,"negative","BCA"
10229408,"Congruent",689.735,"negative","BCA"
10229408,"Incongruent",209.94,"negative","BCA"
10229408,"Congruent",226.284,"negative","BCA"
10229408,"Incongruent",321.184,"negative","BCA"
10229408,"Congruent",472.309,"negative","BCA"
10229408,"Incongruent",970.506,"negative","BCA"
10229408,"END",NA,"negative","BCA"
10229415,"START",NA,"negative","BCA"
10229415,"Congruent",87.69,"negative","BCA"
10229415,"Incongruent",389.329,"negative","BCA"
10229415,"Congruent",715.493,"negative","BCA"
10229415,"Incongruent",339.565,"negative","BCA"
10229415,"Congruent",602.958,"negative","BCA"
10229415,"Incongruent",466.579,"negative","BCA"
10229415,"END",NA,"negative","BCA"
10229418,"START",NA,"negative","BCA"
10229418,"Congruent",973.844,"negative","BCA"
10229418,"Incongruent",449.445,"negative","BCA"
10229418,"Congruent",-182.239,"negative","BCA"
10229418,"Incongruent",431.435,"negative","BCA"
10229418,"Congruent",-5.984,"negative","BCA"
10229418,"Incongruent",-104.34,"negative","BCA"
10229418,"END",NA,"negative","BCA"
10229414,"START",NA,"negative","BCA"
10229414,"Congruent",50.344,"negative","BCA"
10229414,"Incongruent",-34.508,"negative","BCA"
10229414,"Congruent",722.067,"negative","BCA"
10229414,"Incongruent",491.586,"negative","BCA"
10229414,"Congruent",-246.74,"negative","BCA"
10229414,"Incongruent",420.25,"negative","BCA"
10229414,"END",NA,"negative","BCA"
10229407,"START",NA,"negative","BCA"
10229407,"Congruent",609.097,"negative","BCA"
10229407,"Incongruent",471.832,"negative","BCA"
10229407,"Congruent",855.267,"negative","BCA"
10229407,"Incongruent",346.903,"negative","BCA"
10229407,"Congruent",95.059,"negative","BCA"
10229407,"Incongruent",526.296,"negative","BCA"
10229407,"END",NA,"negative","BCA"
10229412,"START",NA,"negative","BCA"
10229412,"Congruent",790.355,"negative","BCA"
10229412,"Incongruent",291.637,"negative","BCA"
10229412,"Congruent",349.808,"negative","BCA"
10229412,"Incongruent",604.118,"negative","BCA"
10229412,"Congruent",397.608,"negative","BCA"
10229412,"Incongruent",485.792,"negative","CAB"
10229412,"END",NA,"negative","CAB"
10229410,"START",NA,"negative","CAB"
10229410,"Congruent",352.551,"negative","CAB"
10229410,"Incongruent",303.658,"negative","CAB"
10229410,"Congruent",617.287,"negative","CAB"
10229410,"Incongruent",533.361,"negative","CAB"
10229410,"Congruent",-364.601,"negative","CAB"
10229410,"Incongruent",464.539,"negative","CAB"
10229410,"END",NA,"negative","CAB"
10229409,"START",NA,"negative","CAB"
10229409,"Congruent",777.994,"negative","CAB"
10229409,"Incongruent",284.678,"negative","CAB"
10229409,"Congruent",668.674,"negative","CAB"
10229409,"Incongruent",721.179,"negative","CAB"
10229409,"Congruent",73.58,"negative","CAB"
10229409,"Incongruent",300.566,"negative","CAB"
10229409,"END",NA,"negative","CAB"
10229421,"START",NA,"negative","CAB"
10229421,"Congruent",677.394,"negative","CAB"
10229421,"Incongruent",502.321,"negative","CAB"
10229421,"Congruent",142.156,"negative","CAB"
10229421,"Incongruent",490.892,"negative","CAB"
10229421,"Congruent",122.502,"negative","CAB"
10229421,"Incongruent",219.759,"negative","CAB"
10229421,"END",NA,"negative","CAB"
10229425,"START",NA,"negative","CAB"
10229425,"Congruent",259.679,"negative","CAB"
10229425,"Incongruent",162.877,"negative","CAB"
10229425,"Congruent",467.988,"negative","CAB"
10229425,"Incongruent",628.645,"negative","CAB"
10229425,"Congruent",461.337,"negative","CAB"
10229425,"Incongruent",541.066,"negative","CAB"
10229425,"END",NA,"negative","CAB"
10229431,"START",NA,"negative","CAB"
10229431,"Congruent",719.249,"negative","CAB"
10229431,"Incongruent",779.703,"negative","CAB"
10229431,"Congruent",334.026,"negative","CAB"
10229431,"Incongruent",124.107,"negative","CAB"
10229431,"Congruent",441.401,"negative","CAB"
10229431,"Incongruent",226.118,"negative","CAB"
10229431,"END",NA,"negative","CAB"
10229429,"START",NA,"negative","CAB"
10229429,"Congruent",135.375,"negative","CAB"
10229429,"Incongruent",199.98,"negative","CAB"
10229429,"Congruent",401.248,"negative","CAB"
10229429,"Incongruent",374.757,"negative","CAB"
10229429,"Congruent",506.377,"negative","ACB"
10229429,"Incongruent",557.268,"negative","ACB"
10229429,"END",NA,"negative","ACB"
10229422,"START",NA,"negative","ACB"
10229422,"Congruent",489.766,"negative","ACB"
10229422,"Incongruent",728.146,"negative","ACB"
10229422,"Congruent",1159.746,"negative","ACB"
10229422,"Incongruent",560.211,"negative","ACB"
10229422,"Congruent",643.833,"negative","ACB"
10229422,"Incongruent",551.559,"negative","ACB"
10229422,"END",NA,"negative","ACB"
10229436,"START",NA,"negative","ACB"
10229436,"Congruent",406.127,"negative","ACB"
10229436,"Incongruent",344.401,"negative","ACB"
10229436,"Congruent",808.922,"negative","ACB"
10229436,"Incongruent",261.138,"negative","ACB"
10229436,"Congruent",606.667,"negative","ACB"
10229436,"Incongruent",496.063,"negative","ACB"
10229436,"END",NA,"negative","ACB"
10229433,"START",NA,"negative","ACB"
10229433,"Congruent",480.224,"negative","ACB"
10229433,"Incongruent",811.706,"negative","ACB"
10229433,"Congruent",696.028,"negative","ACB"
10229433,"Incongruent",550.702,"negative","ACB"
10229433,"Congruent",867.006,"negative","ACB"
10229433,"Incongruent",211.776,"negative","ACB"
10229433,"END",NA,"negative","ACB"
10229428,"START",NA,"negative","ACB"
10229428,"Congruent",463.287,"negative","ACB"
10229428,"Incongruent",200.252,"negative","ACB"
10229428,"Congruent",693.859,"negative","ACB"
10229428,"Incongruent",460.697,"negative","ACB"
10229428,"Congruent",-2.969,"negative","ACB"
10229428,"Incongruent",499.355,"negative","ACB"
10229428,"END",NA,"negative","ACB"
10229440,"START",NA,"negative","ACB"
10229440,"Congruent",205.476,"negative","ACB"
10229440,"Incongruent",735.757,"negative","ACB"
10229440,"Congruent",315.141,"negative","ACB"
10229440,"Incongruent",140.906,"negative","ACB"
10229440,"Congruent",375.083,"negative","ACB"
10229440,"Incongruent",688.111,"negative","ACB"
10229440,"END",NA,"negative","ACB"
10229450,"START",NA,"negative","ACB"
10229450,"Congruent",869.925,"negative","ACB"
10229450,"Incongruent",568.116,"negative","ACB"
10229450,"Congruent",887.452,"negative","ACB"
10229450,"Incongruent",-272.884,"negative","ABC"
10229450,"Congruent",409.56,"negative","ABC"
10229450,"Incongruent",414.351,"negative","ABC"
10229450,"END",NA,"negative","ABC"
10229468,"START",NA,"negative","ABC"
10229468,"Congruent",971.62,"negative","ABC"
10229468,"Incongruent",59.379,"negative","ABC"
10229468,"Congruent",334.657,"negative","ABC"
10229468,"Incongruent",330.612,"negative","ABC"
10229468,"Congruent",930.944,"negative","ABC"
